Date,Open,High,Low,Close,Adj Close,Volume
2017-08-08,36.963333,37.576668,36.650002,36.866665,36.581299,3904200
2017-08-09,36.483334,36.843334,36.290001,36.810001,36.525078,3771600
2017-08-10,36.386665,36.443333,35.240002,35.279999,35.006916,5988600
2017-08-11,35.356667,35.703335,35.250000,35.413334,35.139214,4156800
2017-08-14,36.043335,36.560001,36.029999,36.453335,36.171169,3553800
2017-08-15,36.653332,36.653332,36.290001,36.446667,36.164558,2838000
2017-08-16,36.666668,36.900002,36.410000,36.610001,36.326622,3756900
2017-08-17,36.296665,36.453335,34.910000,34.916668,34.646397,6658800
2017-08-18,34.820000,35.356667,34.513332,34.720001,34.451256,5689200
2017-08-21,34.709999,34.930000,34.349998,34.826668,34.557095,2631000
2017-08-22,35.083332,35.970001,35.083332,35.853333,35.575809,3993300
2017-08-23,35.410000,35.709999,35.326668,35.496666,35.221905,2709600
2017-08-24,35.700001,35.766666,35.143333,35.253334,34.980453,4197600
2017-08-25,35.626667,35.946667,35.419998,35.486668,35.211990,2928600
2017-08-28,35.723331,35.759998,35.290001,35.493332,35.218597,2010300
2017-08-29,34.833332,35.730000,34.776669,35.593334,35.317822,3457800
